,2022,2021,2020,2019,2018,2017,2016,2015,2014
SNIEZKA,-14.156975191009636,8.53613747511259,5.806438417801784,4.729469219894611,23.746918652424004,8.72647626732758,44.018096167016,-15.133849947164487,567.8
BORYSZEW,18.97106109324759,-26.4775413711584,-9.999999999999996,-49.0238611713666,15.106117353308367,70.42553191489363,-17.97556719022688,25.018181818181823,1100.0
STALPROD,-12.3128209103866,65.47297163946396,-43.24994819929551,-36.570594336539685,-3.9049166450485417,45.69669481494743,-26.08133046105888,121.03715019338904,1230.68
PCCROKITA,76.83391676390508,5.929977441982639,-39.92611660458151,-20.970810165827995,51.9178336614539,40.66337140647696,26.509432715061937,756.41,
MLPGROUP,2.899595547355175,68.90388624027409,32.42504577878597,-8.388938269132062,-2.3042207355405298,16.040078908899957,11.462469350628812,24.642624760928282,507.17
NEWAG,-20.610687022900763,22.429906542056074,44.10774410774411,-1.9801980198019802,-4.113924050632911,-12.222222222222221,-24.717691342534508,9.830041341295368,979.65
ASSECOBS,17.934769350864777,29.577064104185098,1.7922069564657845,3.3337397067461727,12.499376589696276,54.839955210625874,13.636961958667902,4.921277967038025,434.44
VRG,36.10187238236017,-31.43581081081081,947.2,,,,,,
WAWEL,-16.267440001826778,-6.410215312282952,-25.17988487368084,-19.087633500876525,-6.295575639650132,-7.48537749339674,15.481656574814616,-16.967790503844704,1859.7
PKPCARGO,2.3354737768506024,-33.17068389008092,-53.30315591384177,-20.326530943041465,17.23381108698856,-31.32662582131136,-18.035890483486696,0.3741508466706226,3725.77
11BIT,17.192778621860747,22.30019237495629,63.93348623853209,23.231832534722997,39.139117610913104,107.93458123043506,156.53,,
CFI,4.014646960490354,-8.666359692702903,-48.276099805078,3705.1752921535895,1.3781431334622831,270.9417040358744,11.15,,
POLICE,-7.786446987999527,92.37333333333333,-22.22222222222222,-35.22072936660269,-7.377777777777778,-18.181818181818183,48.488120950323975,-23.153526970954356,1807.5
ENTER,-20.128323175633216,-11.36372469006256,105.60675474110376,-25.564058844521988,12.743366788117216,447.37,,,
STALEXP,2.646635501790196,11.475170722004917,-4.687578989939845,-23.07677350988226,5.584011660730218,23.124462868409083,17.64775853096425,6.249703786789672,632.99
CPGROUP,31.20123076923077,10.293618580911405,31.790614880941718,-9.375810635538251,-7.812336526820824,9.500507348368314,45.83512339491144,418.98,
FORTE,1.9517713726609296,34.42573538478401,34.067447926233434,-54.50047637354372,-34.12864441116886,42.3216748150934,4.34441374123186,33.765665667855046,914.42
RYVU,23.98321319026897,25.65429728263138,718.71,,,,,,
APATOR,-16.735750634509678,13.620159981451424,-13.150509080383099,-11.110986810457655,-9.698959490857662,-8.841432531241088,-11.231096215155716,0.8458088768713308,1213.04
BOS,51.66490344097975,-15.73006542861027,-3.1295285214514683,31.388952996384322,-22.493515785707896,71.61933998465082,-49.735755892450726,-27.659435927965465,1075.04
ALUMETAL,21.227698820683408,16.91521501574854,-5.7437140260527215,-20.945492863301077,-11.559193874633312,22.06336689977895,12.764933966939747,686.02,
AUTOPARTN,77.94406869093875,69.78873124725122,22.224655570598074,-17.44518589132507,18.72536393084337,512.46,,,
BEST,31.579308452250284,-20.83423854008256,-3.9991657542103325,-20.635336634619364,51.77849890086885,69.41547847059657,66.1892130857648,-6.451612903225801,181.35
PHN,7.734616114070935,6.690335160590119,31.318694591395506,-36.38277600196705,-17.162716093387978,-11.137003812260323,-27.68879654472875,2.1610870618910036,1196.62
SANOK,-15.601096015526878,1.2952469064415237,-19.916647372076863,-47.28812731888303,-25.415994077166747,10.450082107309216,10.119201387607495,21.416473245091275,1115.87
RAINBOW,1.6946684913956245,-33.14450349432538,74.75420989964283,-53.56313486358825,64.14957342530406,9.504202635165825,31.880313073437467,63.401052502753636,163.42
KOGENERA,-20.28571428571429,1.7441860465116388,-14.000000000000009,-52.94117647058823,-6.263645985212386,37.393736017897105,13.793103448275852,12.840466926070043,765.86
POLIMEXMS,4.838563086501092,72.62261967798239,-23.31027222138667,-30.27255471543778,194.35715388177192,-35.06975066142869,64.56773427449946,58.927448102327546,190.76
MCI,39.47452575565703,58.74469510833146,-0.15206196018004134,0.4951201124717306,-6.872734862716072,-25.885976261461444,10.803272302298408,6.8265805506541914,600.74
MANGATA,24.409170243879426,-13.013684577665622,25.861178536383836,-42.317087702573886,-4.237807922176107,701.07,,,
AGORA,1.6621569385388406,-30.57757410618446,3.999484768467829,-32.323584535588196,15.24319799079112,-0.5544640181158281,56.165167195382,-22.880404267265586,498.68
XTB,-6.256990153105177,353.16065305066104,-10.226722685821601,-1.5647036401753451,-35.868289821061886,818.16,,,
ACAUTOGAZ,-14.286119462249703,-23.73845521597128,9.502380332062245,5.949811794228352,-2.095668623934347,33.207880612645624,7.7433004231311635,-35.65221337326708,440.73
ARCHICOM,-9.956490944045324,34.71001158590609,48.692744223753536,-29.504214887841115,18.296290036339048,354.99,,,
AMBRA,29.165030890344436,12.282207734960457,34.64638260652254,-11.127151582454188,80.88685783156733,9.568614504236814,-7.563196175169118,-23.37879968823071,256.6
ABPL,69.2770967679467,23.644765827028063,62.26591032714275,-48.242438867438864,-11.851668025667392,5.255891187939616,8.202446804215297,-5.846797186846615,526.1
ZEPAK,84.66311114888555,20.26115398374815,2.665407419067099,-50.624991904249946,20.460928723005868,40.11062285476923,-65.77962982359014,5.115562161354518,1271.61
COMP,-4.058983071983035,-17.877624167946756,40.42782671220566,-23.578866390087107,4.238623020305298,6.208176177150513,2.8725201827398483,-17.557527602930556,387.64
TOYA,37.45621064682313,11.92404284762441,-25.926347760060732,-37.72828823717154,75.61081933863368,31.12937910008983,1.3154991726420247,-22.43684356884639,467.49
ATMGRUPA,8.80245946808201,-9.110320284697508,0.896324272567691,1.3641755634638202,6.794886559944726,0.4889621849955148,24.618712817739308,9.667852906287077,252.9
SELVITA,66.32962029792691,139.23227409718183,-55.97788769275531,7.577028532795811,105.65683093877131,41.146969036197106,74.15189873417722,158.0,
GETBACK,0.0,0.26666666666666666,0.0,-79.60848287112562,1839.0,,,,
MOBRUK,67.39195009653943,117.43904408202812,138.17703993333762,110.73888963933538,9.044041832375902,222.51781472684084,-5.350719424460422,-44.120603015075375,39.8
LENTEX,-16.666666666666668,44.018943414713796,1.620799336191402,-6.684733514001801,-23.083794890119712,6.287848416432809,-6.97587689167174,11.216136567050155,458.09
WIELTON,33.33496920472113,13.445424936670086,-39.778042279257676,-23.41045657644703,-2.6413490505893966,84.02806533241318,79.5539033457249,-41.88530689646895,416.59
PBKM,20.413414529548,96.67678812415652,28.748280605226967,-16.648563842626118,32.00047791628499,251.09,,,
SELENAFM,32.966153099599666,16.44958042550786,83.43094065820162,-51.90558089683193,-12.106473874465985,39.88660741648789,0.9185661707852744,-40.752753192970886,545.73
VOXEL,12.904902539870053,24.767856616454907,41.66457863526268,31.33329676959359,-8.048817388673145,-9.662870159453307,125.93926917138445,-43.25018984753782,171.19
BIOTON,-3.3486645687081538,13.948142699521899,-24.90160425345825,44.98281442920546,-57.282148508217986,-31.517240032800963,200.50457639051862,98.4976416467711,171.73
R22,46.97286861091351,50.87079168455266,54.363877319197265,6.529521504563096,198.33,,,,
FERRO,33.19901331274595,65.56615538097022,8.632776780573716,-16.51728915151687,36.92462545004065,18.057586837294327,11.111111111111123,-13.525382048129286,227.72
PCCEXOL,-24.67090251693755,79.34399395618232,21.973507391053953,-13.218046114887384,7.408202705604463,-30.76980253214737,-26.87562279191956,-35.8719646799117,860.7
GETIN,54.121634584639,-50.53930096473192,145.0015499070056,-87.68138078509241,37.73371551792148,-14.753914612685923,-34.408910454344955,-50.659469812388465,2756.76
OPONEO.PL,54.369862059356294,83.11009057277712,9.755329202982255,-49.38254106057653,-13.829218766698734,71.53070577451878,161.20117655106372,0.4811327238985419,145.49
GETINOBLE,43.80480365993139,-24.66732616395954,-15.970825624111763,-74.46996405955845,25.272284445054293,-26.66704400379853,-72.60265239558152,-17.977551908737848,7075.88
PGSSOFT,37.1590477739819,19.008744474202175,21.110633475321443,-41.14359316420176,14.924268457085454,378.31,,,
ENELMED,32.74988728883231,23.07667199791102,24.997960016319873,-13.260431043635206,23.608923884514436,5.205025541902528,-21.863425509727062,60.541507909017426,173.22
ULMA,35.80377417586721,-13.216906768143518,-11.808947352650353,-9.248382009028115,2.8988751469024607,-11.517702401584547,30.189530685920566,-39.1447626520204,509.8
UNIBEP,24.095640523549434,0.9747467739697525,82.6637941959194,-54.63638976717448,-6.854082998661318,-1.3887422114267587,31.386152351880124,4.6920395119116645,275.36
RAWLPLUG,98.8875238875239,6.886489641085495,0.24131627056673674,-12.043736935198583,-12.383770076077766,24.57002457002457,33.58653350213343,-40.45398704489614,358.16
VIGOSYS,18.58263128505184,51.06913625527233,35.9986033519553,-13.24592150244494,36.634541476970384,-9.303946803946802,29.19495635305527,144.34,
LOKUM,57.89473684210526,-4.999999999999998,-9.090909090909088,-12.200684150513123,46.166666666666686,-4.0,225.0,,
ERBUD,92.03144176260882,39.119476401479744,102.96204620462046,-53.28399629972248,-27.41921947125472,0.8663017100287808,9.325929353694283,-24.994793715436064,432.17
DATAWALK,17.708821899117385,283.40689880660454,244.68,,,,,,
ARCTIC,46.643037458245146,64.06040829986614,11.290097304343778,-23.077749525480794,-27.387855935509037,39.09788034435363,-7.852809812679155,56.31740738811024,191.93
TIM,103.53024701936494,71.96564644465964,73.13944165026605,-4.920645921408271,-53.239135366367435,54.44716952800441,47.53359917294344,18.446601941747566,114.33
XTPL,-34.00553859262942,-40.35659833982721,236.12,,,,,,
FERRUM,5.3293596879519765,-2.7159546346039076,-16.49517570406238,186.80690288981924,9.922550230104392,-26.813439579397027,16.432329029172653,-42.042241809412936,180.39
UNIMOT,18.92452006980801,20.251836306400847,250.5287356321839,-66.55732663625648,195.11,,,,
PEKABEX,42.01205996615584,84.53993666432088,-27.675276752767527,29.831082476355686,-8.925750394944714,-1.9654117039713794,271.19,,
WITTCHEN,59.85414549584555,-25.18336314847943,-22.27745142340714,-14.423820572312454,10.226564805403456,-0.8807279818004484,307.7,,
DEKPOL,12.768213043847009,13.249771886855884,-23.148182321461526,-17.973480261564543,254.26855426855428,-25.66964285714286,125.44,,
ZPUE,38.51351351351352,0.6802721088435263,151.28205128205127,-64.97005988023952,-56.05263157894737,8.571428571428571,22.80701754385965,-33.713222467728805,601.93
IMMOBILE,10.085860838537005,-10.189775174002301,-19.20789675957765,-13.910075575523283,16.871540214913704,9.473308974244729,35.68319226118499,165.4,
DECORA,6.917113893858094,68.25524229958863,16.791656901804544,48.04406279816116,7.4764612659643985,21.662697062492906,30.00589796520202,-53.84510684633184,146.94
ASMGROUP,-69.99883081959547,-56.14071073278293,-0.581187866428761,-14.427187854462957,-25.418103728769434,307.34,,,
KINOPOL,101.92096242157685,-19.998965124702462,-7.140111474149536,-8.934978559551933,-1.4531499288517118,1.7372230752358009,-7.999354239819196,-35.07245617253216,381.61
INPRO,67.37767297282812,-2.9137832353400253,6.66555666555666,-9.999999999999991,15.209760027622705,1.637714218868814,20.28281975517097,-35.45545363727182,220.22
GOBARTO,1.8066406249999991,-34.027703210565875,-9.216747087780863,-6.698499317871768,17.883563846896116,186.54,,,
TARCZYNSKI,90.91054761046348,37.49931148443954,-11.109479044261652,47.5402730621975,-1.3750356226845302,-3.8893453848260604,-0.9965426072808616,-12.102252413299967,167.82
ORZBIALY,97.65401398207666,17.433467408672644,2.345908757683413,-14.798443280641898,42.03917286562478,44.26503888943587,5.538237738985867,-63.417971719629,263.08
MARVIPOL,49.62033374255445,26.012719876239046,28.92812292236093,-52.89839944328461,-37.40607644560601,69.99888925913585,-10.958362179804178,38.78568814055636,218.56
